,source,target
321,RETIRED_NC,UNITED STATES POSTAL SERVICE
322,Public Administration_NC,UNITED STATES POSTAL SERVICE
323,Real Estate and Rental and Leasing_NC,UNITED STATES POSTAL SERVICE
324,Administrative and Support and Waste Management and Remediation Services_NC,UNITED STATES POSTAL SERVICE
325,Management of Companies and Enterprises_NC,STAMPEDE AMERICA
326,"Professional, Scientific, and Technical Services_NC",STAMPEDE AMERICA
327,RETIRED_NC,STAMPEDE AMERICA
328,Public Administration_NC,STAMPEDE AMERICA
329,Real Estate and Rental and Leasing_NC,STAMPEDE AMERICA
330,Administrative and Support and Waste Management and Remediation Services_NC,STAMPEDE AMERICA
331,Management of Companies and Enterprises_NC,"I360, LLC"
332,"Professional, Scientific, and Technical Services_NC","I360, LLC"
333,RETIRED_NC,"I360, LLC"
334,Public Administration_NC,"I360, LLC"
335,Real Estate and Rental and Leasing_NC,"I360, LLC"
336,Administrative and Support and Waste Management and Remediation Services_NC,"I360, LLC"
337,Management of Companies and Enterprises_NC,NATIONAL RIFLE ASSOCIATION OF AMERICA
338,"Professional, Scientific, and Technical Services_NC",NATIONAL RIFLE ASSOCIATION OF AMERICA
339,RETIRED_NC,NATIONAL RIFLE ASSOCIATION OF AMERICA
340,Public Administration_NC,NATIONAL RIFLE ASSOCIATION OF AMERICA
341,Real Estate and Rental and Leasing_NC,NATIONAL RIFLE ASSOCIATION OF AMERICA
342,Administrative and Support and Waste Management and Remediation Services_NC,NATIONAL RIFLE ASSOCIATION OF AMERICA
343,Management of Companies and Enterprises_NC,"DUSTBUSTERS SWEEPING SERVICE, INC."
344,"Professional, Scientific, and Technical Services_NC","DUSTBUSTERS SWEEPING SERVICE, INC."
345,RETIRED_NC,"DUSTBUSTERS SWEEPING SERVICE, INC."
346,Public Administration_NC,"DUSTBUSTERS SWEEPING SERVICE, INC."
347,Real Estate and Rental and Leasing_NC,"DUSTBUSTERS SWEEPING SERVICE, INC."
348,Administrative and Support and Waste Management and Remediation Services_NC,"DUSTBUSTERS SWEEPING SERVICE, INC."
349,Management of Companies and Enterprises_NC,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
350,"Professional, Scientific, and Technical Services_NC",WISCONSIN CONSERVATIVE LEADERSHIP COALITION
351,RETIRED_NC,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
352,Public Administration_NC,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
353,Real Estate and Rental and Leasing_NC,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
354,Administrative and Support and Waste Management and Remediation Services_NC,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
355,Management of Companies and Enterprises_NC,"EXECUTIVE EAGLES ADVERTISING, LLC"
356,"Professional, Scientific, and Technical Services_NC","EXECUTIVE EAGLES ADVERTISING, LLC"
357,RETIRED_NC,"EXECUTIVE EAGLES ADVERTISING, LLC"
358,Public Administration_NC,"EXECUTIVE EAGLES ADVERTISING, LLC"
359,Real Estate and Rental and Leasing_NC,"EXECUTIVE EAGLES ADVERTISING, LLC"
360,Administrative and Support and Waste Management and Remediation Services_NC,"EXECUTIVE EAGLES ADVERTISING, LLC"
361,Health Care and Social Assistance_WI,BIDEN FOR PRESIDENT
362,Educational Services_WI,BIDEN FOR PRESIDENT
363,"Professional, Scientific, and Technical Services_WI",BIDEN FOR PRESIDENT
364,RETIRED_WI,BIDEN FOR PRESIDENT
365,NOT EMPLOYED_WI,BIDEN FOR PRESIDENT
366,Management of Companies and Enterprises_WI,BIDEN FOR PRESIDENT
367,Administrative and Support and Waste Management and Remediation Services_WI,BIDEN FOR PRESIDENT
368,Public Administration_WI,BIDEN FOR PRESIDENT
369,Real Estate and Rental and Leasing_WI,BIDEN FOR PRESIDENT
370,Manufacturing_WI,BIDEN FOR PRESIDENT
371,Health Care and Social Assistance_WI,NRA INSTITUTE FOR LEGISLATIVE ACTION
372,"Professional, Scientific, and Technical Services_WI",NRA INSTITUTE FOR LEGISLATIVE ACTION
373,RETIRED_WI,NRA INSTITUTE FOR LEGISLATIVE ACTION
374,Management of Companies and Enterprises_WI,NRA INSTITUTE FOR LEGISLATIVE ACTION
375,Administrative and Support and Waste Management and Remediation Services_WI,NRA INSTITUTE FOR LEGISLATIVE ACTION
376,Manufacturing_WI,NRA INSTITUTE FOR LEGISLATIVE ACTION
377,Health Care and Social Assistance_WI,"MASTER PRINT, INC."
378,"Professional, Scientific, and Technical Services_WI","MASTER PRINT, INC."
379,RETIRED_WI,"MASTER PRINT, INC."
380,Management of Companies and Enterprises_WI,"MASTER PRINT, INC."
381,Administrative and Support and Waste Management and Remediation Services_WI,"MASTER PRINT, INC."
382,Manufacturing_WI,"MASTER PRINT, INC."
383,Health Care and Social Assistance_WI,UNITED STATES POSTAL SERVICE
384,"Professional, Scientific, and Technical Services_WI",UNITED STATES POSTAL SERVICE
385,RETIRED_WI,UNITED STATES POSTAL SERVICE
386,Management of Companies and Enterprises_WI,UNITED STATES POSTAL SERVICE
387,Administrative and Support and Waste Management and Remediation Services_WI,UNITED STATES POSTAL SERVICE
388,Manufacturing_WI,UNITED STATES POSTAL SERVICE
389,Health Care and Social Assistance_WI,BIDEN VICTORY FUND
390,Educational Services_WI,BIDEN VICTORY FUND
391,"Professional, Scientific, and Technical Services_WI",BIDEN VICTORY FUND
392,RETIRED_WI,BIDEN VICTORY FUND
393,NOT EMPLOYED_WI,BIDEN VICTORY FUND
394,Management of Companies and Enterprises_WI,BIDEN VICTORY FUND
395,Administrative and Support and Waste Management and Remediation Services_WI,BIDEN VICTORY FUND
396,Public Administration_WI,BIDEN VICTORY FUND
397,Real Estate and Rental and Leasing_WI,BIDEN VICTORY FUND
398,Health Care and Social Assistance_WI,DONALD J. TRUMP FOR PRESIDENT
399,Educational Services_WI,DONALD J. TRUMP FOR PRESIDENT
400,"Professional, Scientific, and Technical Services_WI",DONALD J. TRUMP FOR PRESIDENT
401,RETIRED_WI,DONALD J. TRUMP FOR PRESIDENT
402,NOT EMPLOYED_WI,DONALD J. TRUMP FOR PRESIDENT
403,Management of Companies and Enterprises_WI,DONALD J. TRUMP FOR PRESIDENT
404,Administrative and Support and Waste Management and Remediation Services_WI,DONALD J. TRUMP FOR PRESIDENT
405,Public Administration_WI,DONALD J. TRUMP FOR PRESIDENT
406,Real Estate and Rental and Leasing_WI,DONALD J. TRUMP FOR PRESIDENT
407,Manufacturing_WI,DONALD J. TRUMP FOR PRESIDENT
408,Health Care and Social Assistance_WI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
409,Educational Services_WI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
410,"Professional, Scientific, and Technical Services_WI",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
411,RETIRED_WI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
412,NOT EMPLOYED_WI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
413,Management of Companies and Enterprises_WI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
414,Administrative and Support and Waste Management and Remediation Services_WI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
415,Public Administration_WI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
416,Real Estate and Rental and Leasing_WI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
417,Manufacturing_WI,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
418,Health Care and Social Assistance_WI,STAMPEDE AMERICA
419,"Professional, Scientific, and Technical Services_WI",STAMPEDE AMERICA
420,RETIRED_WI,STAMPEDE AMERICA
421,Management of Companies and Enterprises_WI,STAMPEDE AMERICA
422,Administrative and Support and Waste Management and Remediation Services_WI,STAMPEDE AMERICA
423,Manufacturing_WI,STAMPEDE AMERICA
424,Health Care and Social Assistance_WI,"I360, LLC"
425,"Professional, Scientific, and Technical Services_WI","I360, LLC"
426,RETIRED_WI,"I360, LLC"
427,Management of Companies and Enterprises_WI,"I360, LLC"
428,Administrative and Support and Waste Management and Remediation Services_WI,"I360, LLC"
429,Manufacturing_WI,"I360, LLC"
430,Health Care and Social Assistance_WI,NATIONAL RIFLE ASSOCIATION OF AMERICA
431,"Professional, Scientific, and Technical Services_WI",NATIONAL RIFLE ASSOCIATION OF AMERICA
432,RETIRED_WI,NATIONAL RIFLE ASSOCIATION OF AMERICA
433,Management of Companies and Enterprises_WI,NATIONAL RIFLE ASSOCIATION OF AMERICA
434,Administrative and Support and Waste Management and Remediation Services_WI,NATIONAL RIFLE ASSOCIATION OF AMERICA
435,Manufacturing_WI,NATIONAL RIFLE ASSOCIATION OF AMERICA
436,Health Care and Social Assistance_WI,"DUSTBUSTERS SWEEPING SERVICE, INC."
437,"Professional, Scientific, and Technical Services_WI","DUSTBUSTERS SWEEPING SERVICE, INC."
438,RETIRED_WI,"DUSTBUSTERS SWEEPING SERVICE, INC."
439,Management of Companies and Enterprises_WI,"DUSTBUSTERS SWEEPING SERVICE, INC."
440,Administrative and Support and Waste Management and Remediation Services_WI,"DUSTBUSTERS SWEEPING SERVICE, INC."
441,Manufacturing_WI,"DUSTBUSTERS SWEEPING SERVICE, INC."
442,Health Care and Social Assistance_WI,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
443,"Professional, Scientific, and Technical Services_WI",WISCONSIN CONSERVATIVE LEADERSHIP COALITION
444,RETIRED_WI,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
445,Management of Companies and Enterprises_WI,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
446,Administrative and Support and Waste Management and Remediation Services_WI,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
447,Manufacturing_WI,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
448,Health Care and Social Assistance_WI,"EXECUTIVE EAGLES ADVERTISING, LLC"
449,"Professional, Scientific, and Technical Services_WI","EXECUTIVE EAGLES ADVERTISING, LLC"
450,RETIRED_WI,"EXECUTIVE EAGLES ADVERTISING, LLC"
451,Management of Companies and Enterprises_WI,"EXECUTIVE EAGLES ADVERTISING, LLC"
452,Administrative and Support and Waste Management and Remediation Services_WI,"EXECUTIVE EAGLES ADVERTISING, LLC"
453,Manufacturing_WI,"EXECUTIVE EAGLES ADVERTISING, LLC"
454,RETIRED_WI,TRUMP VICTORY
455,Management of Companies and Enterprises_WI,TRUMP VICTORY
456,Health Care and Social Assistance_MN,BIDEN FOR PRESIDENT
457,Management of Companies and Enterprises_MN,BIDEN FOR PRESIDENT
458,Educational Services_MN,BIDEN FOR PRESIDENT
459,RETIRED_MN,BIDEN FOR PRESIDENT
460,"Professional, Scientific, and Technical Services_MN",BIDEN FOR PRESIDENT
461,NOT EMPLOYED_MN,BIDEN FOR PRESIDENT
462,Public Administration_MN,BIDEN FOR PRESIDENT
463,Administrative and Support and Waste Management and Remediation Services_MN,BIDEN FOR PRESIDENT
464,Real Estate and Rental and Leasing_MN,BIDEN FOR PRESIDENT
465,Transportation and Warehousing_MN,BIDEN FOR PRESIDENT
466,Health Care and Social Assistance_MN,NRA INSTITUTE FOR LEGISLATIVE ACTION
467,Management of Companies and Enterprises_MN,NRA INSTITUTE FOR LEGISLATIVE ACTION
468,RETIRED_MN,NRA INSTITUTE FOR LEGISLATIVE ACTION
469,"Professional, Scientific, and Technical Services_MN",NRA INSTITUTE FOR LEGISLATIVE ACTION
470,Public Administration_MN,NRA INSTITUTE FOR LEGISLATIVE ACTION
471,Administrative and Support and Waste Management and Remediation Services_MN,NRA INSTITUTE FOR LEGISLATIVE ACTION
472,Real Estate and Rental and Leasing_MN,NRA INSTITUTE FOR LEGISLATIVE ACTION
473,Transportation and Warehousing_MN,NRA INSTITUTE FOR LEGISLATIVE ACTION
474,Health Care and Social Assistance_MN,"MASTER PRINT, INC."
475,Management of Companies and Enterprises_MN,"MASTER PRINT, INC."
476,RETIRED_MN,"MASTER PRINT, INC."
477,"Professional, Scientific, and Technical Services_MN","MASTER PRINT, INC."
478,Public Administration_MN,"MASTER PRINT, INC."
479,Administrative and Support and Waste Management and Remediation Services_MN,"MASTER PRINT, INC."
480,Real Estate and Rental and Leasing_MN,"MASTER PRINT, INC."
481,Transportation and Warehousing_MN,"MASTER PRINT, INC."
482,Health Care and Social Assistance_MN,UNITED STATES POSTAL SERVICE
483,Management of Companies and Enterprises_MN,UNITED STATES POSTAL SERVICE
484,RETIRED_MN,UNITED STATES POSTAL SERVICE
485,"Professional, Scientific, and Technical Services_MN",UNITED STATES POSTAL SERVICE
486,Public Administration_MN,UNITED STATES POSTAL SERVICE
487,Administrative and Support and Waste Management and Remediation Services_MN,UNITED STATES POSTAL SERVICE
488,Real Estate and Rental and Leasing_MN,UNITED STATES POSTAL SERVICE
489,Transportation and Warehousing_MN,UNITED STATES POSTAL SERVICE
490,Health Care and Social Assistance_MN,BIDEN VICTORY FUND
491,Management of Companies and Enterprises_MN,BIDEN VICTORY FUND
492,Educational Services_MN,BIDEN VICTORY FUND
493,RETIRED_MN,BIDEN VICTORY FUND
494,"Professional, Scientific, and Technical Services_MN",BIDEN VICTORY FUND
495,NOT EMPLOYED_MN,BIDEN VICTORY FUND
496,Public Administration_MN,BIDEN VICTORY FUND
497,Administrative and Support and Waste Management and Remediation Services_MN,BIDEN VICTORY FUND
498,Real Estate and Rental and Leasing_MN,BIDEN VICTORY FUND
499,Health Care and Social Assistance_MN,DONALD J. TRUMP FOR PRESIDENT
500,Management of Companies and Enterprises_MN,DONALD J. TRUMP FOR PRESIDENT
501,Educational Services_MN,DONALD J. TRUMP FOR PRESIDENT
502,RETIRED_MN,DONALD J. TRUMP FOR PRESIDENT
503,"Professional, Scientific, and Technical Services_MN",DONALD J. TRUMP FOR PRESIDENT
504,NOT EMPLOYED_MN,DONALD J. TRUMP FOR PRESIDENT
505,Public Administration_MN,DONALD J. TRUMP FOR PRESIDENT
506,Administrative and Support and Waste Management and Remediation Services_MN,DONALD J. TRUMP FOR PRESIDENT
507,Real Estate and Rental and Leasing_MN,DONALD J. TRUMP FOR PRESIDENT
508,Transportation and Warehousing_MN,DONALD J. TRUMP FOR PRESIDENT
509,Health Care and Social Assistance_MN,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
510,Management of Companies and Enterprises_MN,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
511,Educational Services_MN,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
512,RETIRED_MN,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
513,"Professional, Scientific, and Technical Services_MN",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
514,NOT EMPLOYED_MN,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
515,Public Administration_MN,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
516,Administrative and Support and Waste Management and Remediation Services_MN,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
517,Real Estate and Rental and Leasing_MN,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
518,Transportation and Warehousing_MN,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
519,Health Care and Social Assistance_MN,STAMPEDE AMERICA
520,Management of Companies and Enterprises_MN,STAMPEDE AMERICA
521,RETIRED_MN,STAMPEDE AMERICA
522,"Professional, Scientific, and Technical Services_MN",STAMPEDE AMERICA
523,Public Administration_MN,STAMPEDE AMERICA
524,Administrative and Support and Waste Management and Remediation Services_MN,STAMPEDE AMERICA
525,Real Estate and Rental and Leasing_MN,STAMPEDE AMERICA
526,Transportation and Warehousing_MN,STAMPEDE AMERICA
527,Health Care and Social Assistance_MN,"I360, LLC"
528,Management of Companies and Enterprises_MN,"I360, LLC"
529,RETIRED_MN,"I360, LLC"
530,"Professional, Scientific, and Technical Services_MN","I360, LLC"
531,Public Administration_MN,"I360, LLC"
532,Administrative and Support and Waste Management and Remediation Services_MN,"I360, LLC"
533,Real Estate and Rental and Leasing_MN,"I360, LLC"
534,Transportation and Warehousing_MN,"I360, LLC"
535,Health Care and Social Assistance_MN,NATIONAL RIFLE ASSOCIATION OF AMERICA
536,Management of Companies and Enterprises_MN,NATIONAL RIFLE ASSOCIATION OF AMERICA
537,RETIRED_MN,NATIONAL RIFLE ASSOCIATION OF AMERICA
538,"Professional, Scientific, and Technical Services_MN",NATIONAL RIFLE ASSOCIATION OF AMERICA
539,Public Administration_MN,NATIONAL RIFLE ASSOCIATION OF AMERICA
540,Administrative and Support and Waste Management and Remediation Services_MN,NATIONAL RIFLE ASSOCIATION OF AMERICA
541,Real Estate and Rental and Leasing_MN,NATIONAL RIFLE ASSOCIATION OF AMERICA
542,Transportation and Warehousing_MN,NATIONAL RIFLE ASSOCIATION OF AMERICA
543,Health Care and Social Assistance_MN,"DUSTBUSTERS SWEEPING SERVICE, INC."
544,Management of Companies and Enterprises_MN,"DUSTBUSTERS SWEEPING SERVICE, INC."
545,RETIRED_MN,"DUSTBUSTERS SWEEPING SERVICE, INC."
546,"Professional, Scientific, and Technical Services_MN","DUSTBUSTERS SWEEPING SERVICE, INC."
547,Public Administration_MN,"DUSTBUSTERS SWEEPING SERVICE, INC."
548,Administrative and Support and Waste Management and Remediation Services_MN,"DUSTBUSTERS SWEEPING SERVICE, INC."
549,Real Estate and Rental and Leasing_MN,"DUSTBUSTERS SWEEPING SERVICE, INC."
550,Transportation and Warehousing_MN,"DUSTBUSTERS SWEEPING SERVICE, INC."
551,Health Care and Social Assistance_MN,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
552,Management of Companies and Enterprises_MN,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
553,RETIRED_MN,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
554,"Professional, Scientific, and Technical Services_MN",WISCONSIN CONSERVATIVE LEADERSHIP COALITION
555,Public Administration_MN,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
556,Administrative and Support and Waste Management and Remediation Services_MN,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
557,Real Estate and Rental and Leasing_MN,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
558,Transportation and Warehousing_MN,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
559,Health Care and Social Assistance_MN,"EXECUTIVE EAGLES ADVERTISING, LLC"
560,Management of Companies and Enterprises_MN,"EXECUTIVE EAGLES ADVERTISING, LLC"
561,RETIRED_MN,"EXECUTIVE EAGLES ADVERTISING, LLC"
562,"Professional, Scientific, and Technical Services_MN","EXECUTIVE EAGLES ADVERTISING, LLC"
563,Public Administration_MN,"EXECUTIVE EAGLES ADVERTISING, LLC"
564,Administrative and Support and Waste Management and Remediation Services_MN,"EXECUTIVE EAGLES ADVERTISING, LLC"
565,Real Estate and Rental and Leasing_MN,"EXECUTIVE EAGLES ADVERTISING, LLC"
566,Transportation and Warehousing_MN,"EXECUTIVE EAGLES ADVERTISING, LLC"
567,Health Care and Social Assistance_MN,TRUMP VICTORY
568,Management of Companies and Enterprises_MN,TRUMP VICTORY
569,RETIRED_MN,TRUMP VICTORY
570,"Professional, Scientific, and Technical Services_MN",TRUMP VICTORY
571,Health Care and Social Assistance_FL,BIDEN FOR PRESIDENT
572,Management of Companies and Enterprises_FL,BIDEN FOR PRESIDENT
573,RETIRED_FL,BIDEN FOR PRESIDENT
574,"Professional, Scientific, and Technical Services_FL",BIDEN FOR PRESIDENT
575,NOT EMPLOYED_FL,BIDEN FOR PRESIDENT
576,Administrative and Support and Waste Management and Remediation Services_FL,BIDEN FOR PRESIDENT
577,Finance and Insurance_FL,BIDEN FOR PRESIDENT
578,Real Estate and Rental and Leasing_FL,BIDEN FOR PRESIDENT
579,Public Administration_FL,BIDEN FOR PRESIDENT
580,DIRECTOR_FL,BIDEN FOR PRESIDENT
581,Health Care and Social Assistance_FL,BIDEN VICTORY FUND
582,Management of Companies and Enterprises_FL,BIDEN VICTORY FUND
583,RETIRED_FL,BIDEN VICTORY FUND
584,"Professional, Scientific, and Technical Services_FL",BIDEN VICTORY FUND
585,NOT EMPLOYED_FL,BIDEN VICTORY FUND
586,Administrative and Support and Waste Management and Remediation Services_FL,BIDEN VICTORY FUND
587,Finance and Insurance_FL,BIDEN VICTORY FUND
588,Real Estate and Rental and Leasing_FL,BIDEN VICTORY FUND
589,Public Administration_FL,BIDEN VICTORY FUND
590,DIRECTOR_FL,BIDEN VICTORY FUND
591,Health Care and Social Assistance_FL,NRA INSTITUTE FOR LEGISLATIVE ACTION
592,Management of Companies and Enterprises_FL,NRA INSTITUTE FOR LEGISLATIVE ACTION
593,RETIRED_FL,NRA INSTITUTE FOR LEGISLATIVE ACTION
594,"Professional, Scientific, and Technical Services_FL",NRA INSTITUTE FOR LEGISLATIVE ACTION
595,Administrative and Support and Waste Management and Remediation Services_FL,NRA INSTITUTE FOR LEGISLATIVE ACTION
596,Finance and Insurance_FL,NRA INSTITUTE FOR LEGISLATIVE ACTION
597,Real Estate and Rental and Leasing_FL,NRA INSTITUTE FOR LEGISLATIVE ACTION
598,Public Administration_FL,NRA INSTITUTE FOR LEGISLATIVE ACTION
599,Health Care and Social Assistance_FL,"MASTER PRINT, INC."
600,Management of Companies and Enterprises_FL,"MASTER PRINT, INC."
601,RETIRED_FL,"MASTER PRINT, INC."
602,"Professional, Scientific, and Technical Services_FL","MASTER PRINT, INC."
603,Administrative and Support and Waste Management and Remediation Services_FL,"MASTER PRINT, INC."
604,Finance and Insurance_FL,"MASTER PRINT, INC."
605,Real Estate and Rental and Leasing_FL,"MASTER PRINT, INC."
606,Public Administration_FL,"MASTER PRINT, INC."
607,Health Care and Social Assistance_FL,UNITED STATES POSTAL SERVICE
608,Management of Companies and Enterprises_FL,UNITED STATES POSTAL SERVICE
609,RETIRED_FL,UNITED STATES POSTAL SERVICE
610,"Professional, Scientific, and Technical Services_FL",UNITED STATES POSTAL SERVICE
611,Administrative and Support and Waste Management and Remediation Services_FL,UNITED STATES POSTAL SERVICE
612,Finance and Insurance_FL,UNITED STATES POSTAL SERVICE
613,Real Estate and Rental and Leasing_FL,UNITED STATES POSTAL SERVICE
614,Public Administration_FL,UNITED STATES POSTAL SERVICE
615,Health Care and Social Assistance_FL,DONALD J. TRUMP FOR PRESIDENT
616,Management of Companies and Enterprises_FL,DONALD J. TRUMP FOR PRESIDENT
617,RETIRED_FL,DONALD J. TRUMP FOR PRESIDENT
618,"Professional, Scientific, and Technical Services_FL",DONALD J. TRUMP FOR PRESIDENT
619,NOT EMPLOYED_FL,DONALD J. TRUMP FOR PRESIDENT
620,Administrative and Support and Waste Management and Remediation Services_FL,DONALD J. TRUMP FOR PRESIDENT
621,Finance and Insurance_FL,DONALD J. TRUMP FOR PRESIDENT
622,Real Estate and Rental and Leasing_FL,DONALD J. TRUMP FOR PRESIDENT
623,Public Administration_FL,DONALD J. TRUMP FOR PRESIDENT
624,DIRECTOR_FL,DONALD J. TRUMP FOR PRESIDENT
625,Health Care and Social Assistance_FL,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
626,Management of Companies and Enterprises_FL,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
627,RETIRED_FL,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
628,"Professional, Scientific, and Technical Services_FL",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
629,NOT EMPLOYED_FL,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
630,Administrative and Support and Waste Management and Remediation Services_FL,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
631,Finance and Insurance_FL,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
632,Real Estate and Rental and Leasing_FL,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
633,Public Administration_FL,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
634,DIRECTOR_FL,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
635,Health Care and Social Assistance_FL,STAMPEDE AMERICA
636,Management of Companies and Enterprises_FL,STAMPEDE AMERICA
637,RETIRED_FL,STAMPEDE AMERICA
638,"Professional, Scientific, and Technical Services_FL",STAMPEDE AMERICA
639,Administrative and Support and Waste Management and Remediation Services_FL,STAMPEDE AMERICA
640,Finance and Insurance_FL,STAMPEDE AMERICA
641,Real Estate and Rental and Leasing_FL,STAMPEDE AMERICA
642,Public Administration_FL,STAMPEDE AMERICA
643,Health Care and Social Assistance_FL,"I360, LLC"
644,Management of Companies and Enterprises_FL,"I360, LLC"
645,RETIRED_FL,"I360, LLC"
646,"Professional, Scientific, and Technical Services_FL","I360, LLC"
647,Administrative and Support and Waste Management and Remediation Services_FL,"I360, LLC"
648,Finance and Insurance_FL,"I360, LLC"
649,Real Estate and Rental and Leasing_FL,"I360, LLC"
650,Public Administration_FL,"I360, LLC"
651,Health Care and Social Assistance_FL,NATIONAL RIFLE ASSOCIATION OF AMERICA
652,Management of Companies and Enterprises_FL,NATIONAL RIFLE ASSOCIATION OF AMERICA
653,RETIRED_FL,NATIONAL RIFLE ASSOCIATION OF AMERICA
654,"Professional, Scientific, and Technical Services_FL",NATIONAL RIFLE ASSOCIATION OF AMERICA
655,Administrative and Support and Waste Management and Remediation Services_FL,NATIONAL RIFLE ASSOCIATION OF AMERICA
656,Finance and Insurance_FL,NATIONAL RIFLE ASSOCIATION OF AMERICA
657,Real Estate and Rental and Leasing_FL,NATIONAL RIFLE ASSOCIATION OF AMERICA
658,Public Administration_FL,NATIONAL RIFLE ASSOCIATION OF AMERICA
659,Health Care and Social Assistance_FL,"DUSTBUSTERS SWEEPING SERVICE, INC."
660,Management of Companies and Enterprises_FL,"DUSTBUSTERS SWEEPING SERVICE, INC."
661,RETIRED_FL,"DUSTBUSTERS SWEEPING SERVICE, INC."
662,"Professional, Scientific, and Technical Services_FL","DUSTBUSTERS SWEEPING SERVICE, INC."
663,Administrative and Support and Waste Management and Remediation Services_FL,"DUSTBUSTERS SWEEPING SERVICE, INC."
664,Finance and Insurance_FL,"DUSTBUSTERS SWEEPING SERVICE, INC."
665,Real Estate and Rental and Leasing_FL,"DUSTBUSTERS SWEEPING SERVICE, INC."
666,Public Administration_FL,"DUSTBUSTERS SWEEPING SERVICE, INC."
667,Health Care and Social Assistance_FL,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
668,Management of Companies and Enterprises_FL,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
669,RETIRED_FL,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
670,"Professional, Scientific, and Technical Services_FL",WISCONSIN CONSERVATIVE LEADERSHIP COALITION
671,Administrative and Support and Waste Management and Remediation Services_FL,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
672,Finance and Insurance_FL,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
673,Real Estate and Rental and Leasing_FL,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
674,Public Administration_FL,WISCONSIN CONSERVATIVE LEADERSHIP COALITION
675,Health Care and Social Assistance_FL,"EXECUTIVE EAGLES ADVERTISING, LLC"
676,Management of Companies and Enterprises_FL,"EXECUTIVE EAGLES ADVERTISING, LLC"
677,RETIRED_FL,"EXECUTIVE EAGLES ADVERTISING, LLC"
678,"Professional, Scientific, and Technical Services_FL","EXECUTIVE EAGLES ADVERTISING, LLC"
679,Administrative and Support and Waste Management and Remediation Services_FL,"EXECUTIVE EAGLES ADVERTISING, LLC"
680,Finance and Insurance_FL,"EXECUTIVE EAGLES ADVERTISING, LLC"
681,Real Estate and Rental and Leasing_FL,"EXECUTIVE EAGLES ADVERTISING, LLC"
682,Public Administration_FL,"EXECUTIVE EAGLES ADVERTISING, LLC"
683,Health Care and Social Assistance_FL,TRUMP VICTORY
684,Management of Companies and Enterprises_FL,TRUMP VICTORY
685,RETIRED_FL,TRUMP VICTORY
686,"Professional, Scientific, and Technical Services_FL",TRUMP VICTORY
687,Finance and Insurance_FL,TRUMP VICTORY
